account_id,user_id
2771761,2386229
24471732,18391366
16352252,11810596
8450225,6339278
8178103,6156219
20306032,14894283
24325487,18265105
4730102,3825996
24160475,18124080
5662882,4479969
248908,524587
20021149,14676073
25159948,19004277
18847764,13747590
24548450,18457910
24594798,18498135
24888391,18760697
25152027,18997255
7526483,5716477
24845209,18722808
31668,87152
25158654,19003145
18032771,13106898
14748318,10651074
22730722,16893679
24608988,18510835
272192,563154
10602694,7809175
15593866,11249991
25158654,19003145
632780,395371
19257651,14074193
86431,240363
10672726,12051965
8175494,6691912
93564,255918
9730095,7215457
14965220,10803689
19426434,14207850
25159695,19004066
16121359,11637268
11027334,13983136
25138398,18984940
20652067,15162114
25159498,19003894
21502253,16939675
8229429,6190603
25087178,18939246
23400811,17463999
24161771,18125194
25154542,18999522
21446972,18318652
5021431,4034825
9443593,7023187
1054483,1057500
25158123,19002677
224549,484460
3497744,3429430
104492,279355
24344148,18281071
13807939,9966339
1944003,1749551
24482911,18401034
7033792,5388619
22622849,16801334
21141234,15543624
145637,355567
19957111,14625536
2042736,1823526
19163729,16799738
5423257,4316324
18473612,13457844
22469437,16670099
19871851,14557794
4120352,3380902
23872607,17874112
25159667,19004042
25053651,18909273
25159678,19004053
16066184,11595759
1603,2147
22885208,17026191
16756805,12112582
23666763,17694142
17180567,12436050
16252925,11736359
2966607,2519631
3501689,2928318
24392879,18322607
24469203,18389179
17172007,12428958
20505671,15048534
17644176,12805913
437248,824846
25121554,18969827
1827922,1660157
11698242,8564263
9138464,6797267
25158244,19002783
15217479,10980412
9273890,17639322
4570375,3710225
437248,824846
11332504,8309604
22383301,16596522
25159867,19004205
18403487,13405900
18495847,13474306
3898559,3226932
25159861,19004201
5717607,4517234
17012255,12306993
9429750,7013675
23184692,17281999
24976247,18838855
139209,344669
24542215,18452486
24743736,18630166
83872,234864
16031034,11569951
11552521,8464638
20306032,14894283
20036564,14688164
6082454,4747763
24873665,18747869
4072834,3345257
24249970,18201098
8306710,8806188
2056551,3482266
11681522,8553072
19536933,14295520
2021661,2541573
14608992,10550975
1758688,1867834
25131145,18978377
24751537,18636961
11177766,8202745
20985898,15419712
13151872,9500238
3372929,4660577
27666,73253
21579730,15911111
22217486,16455692
23397404,17461157
20599439,15121032
4184511,3914111
16629004,12276746
1092126,1086539
25156543,19001301
25159838,19004182
16725262,18200891
4587714,3721902
19728113,14587041
22854291,16999379
15446019,11142948
21980335,16255488
13488559,9731591
1515,2025
19480160,14250678
19666217,14396575
15070376,10876101
21879599,16168138
2701646,2332250
25122252,18970436
24125816,18094144
1120911,1109238
319326,637037
166975,391465
5522554,4385070
21913567,16197744
25114176,18963428
16869111,12198056
1211674,1180092
9667644,7173666
13247945,9566434
7790401,5893585
25116424,18965399
25159782,19004141
3806085,3158490
25159801,19004156
8722420,6525134
24057769,18035381
12390742,9032846
94736,258483
8034653,6058228
8267549,6216497
25133527,18980506
18833835,13737002
13688481,9876976
22535068,16726493
16556251,11963351
23480450,17532667
25159756,19004118
15829636,11421381
4600649,3731501
7077068,5416660
6082139,4747554
41937,122036
16016287,11558934
427995,810045
6696632,5164462
21734673,16042840
17213197,12461952
15998249,11545672
15370995,11089028
1256865,1216152
8794,15985
25159622,19004004
24279370,18226169
137646,341980
25154610,18999589
22679943,16850416
18806707,13715878
17450474,12650556
364905,709537
25158581,19003081
25156492,19001256
5063932,4441547
304220,613605
20175644,14797384
24863816,18739200
22898664,17037791
20531310,15068478
22914895,17051631
13777293,9943329
25158501,19003011
22405717,16615299
14682799,10603758
14909348,10765402
3101518,2625519
141852,349169
23924854,17944574
9138328,6797201
117627,307968
25159654,19004029
6326420,4954810
14770150,10666860
82733,232388
25014755,18873951
6789104,5856262
24915043,18784102
9246291,6868052
2030140,3751195
24592489,18496176
25157717,19002333
24472290,18943336
2430384,2121442
12931815,9350606
25159614,19003996
2541473,2207186
18771405,14358916
82425,231762
25141323,18987631
25159679,19004054
207801,457898
24239953,18192482
24633077,18532068
15924495,19003556
266745,554487
25119369,18967912
16562698,11968226
20780433,15261013
22356093,16573364
7480417,5685288
9308951,6911535
21701266,16014407
20056381,14703965
11117577,9289184
57987,173677
14424214,10419473
8751214,6544394
5090383,4083636
17338494,12559814
20787131,15266118
19137703,13978361
119495,311220
24758464,18643152
151894,366038
19417615,14200717
1317994,1264461
25158292,19002824
19670763,14400065
18162223,13213445
25159641,19004019
944601,972101
15201802,10969578
8169919,6150762
22392390,16604211
22182035,16425602
24931021,18798127
16136074,11648516
23350505,17424122
21619864,15945048
6396149,4960410
23769028,17783369
25126762,18974468
2236117,3994249
15480052,11167629
21619754,19002795
16607607,12001578
19505504,14270629
21108135,15516684
25159448,19003856
25093834,18945212
24852459,18729212
15913544,11482858
12363423,14808001
6547523,5063031
15980637,11532382
19392960,14181207
25068537,18922594
9186282,6828370
12323123,8991942
22386487,17280127
10862278,7986808
2364083,2070159
13508797,9745881
22330348,16551682
16391218,15312439
17180567,12436050
1420044,1344854
19977034,14641064
25107675,18957685
25136833,18983516
24734646,18622183
112999,297850
1954313,1757703
25159630,19004009
16990425,12290146
21052817,15472797
25158232,19002771
14784899,10677384
7631595,5786478
4963011,3993426
25159565,19003952
25147533,18993124
939366,967727
19146357,14351566
24559255,18467294
11303474,8288748
25158950,19003418
